Name,RollNo,Branch
Ritu Singh,CE21672,Chemical Engineering
Ujjwal Dutta,CE19877,Civil Engineering
Shivam Naidu,IT18927,Information Technology
Dhruv Bhat,ME23460,Mechanical Engineering
Aryan Bhat,EE20380,Electrical Engineering
Priya Singh,AE21699,Aerospace Engineering
Shubham Kohli,CE20513,Chemical Engineering
Harsh Nair,E18998,Electronics
Amit Gupta,IT22458,Information Technology
Anupam Desai,M19427,Mathematics
Deepak Bhat,CE18728,Chemical Engineering
Ayush Kohli,EE19996,Electrical Engineering
Sonia Agarwal,M24754,Mathematics
Rohan Singh,B18704,Biotechnology
Mihir Garg,IT19762,Information Technology
Rajat Naidu,CE22873,Civil Engineering
Rohan Sarin,EE20790,Electrical Engineering
Naveen Goyal,IT19907,Information Technology
Karan Singh,CE18022,Chemical Engineering
Akash Trivedi,B20436,Biotechnology
Shivam Agarwal,B24568,Biotechnology
Prakash Chakraborty,IT20059,Information Technology
Suresh Ghosh,AE18990,Aerospace Engineering
Meera Deshpande,EE24930,Electrical Engineering
Aman Yadav,E22488,Electronics
Akash Dutta,CE20565,Civil Engineering
Divya Pandey,EE21678,Electrical Engineering
Neha Dutta,ME19641,Mechanical Engineering
Harish Bajaj,B19785,Biotechnology
Akash Bose,CE18222,Civil Engineering
Yash Chatterjee,CS22037,Computer Science
Payal Menon,CE24276,Chemical Engineering
Sandeep Saxena,AE18348,Aerospace Engineering
Sandeep Chopra,CS20957,Computer Science
Jatin Sarin,M18861,Mathematics
Sandeep Trivedi,CE18498,Civil Engineering
Akash Joshi,CS18572,Computer Science
Ankit Rao,CE19151,Civil Engineering
Jatin Saxena,IT22140,Information Technology
Ritu Wadhwa,AE19210,Aerospace Engineering
Prakash Kumar,AE21295,Aerospace Engineering
Kunal Mahajan,EE22490,Electrical Engineering
Karan Bansal,EE19560,Electrical Engineering
Sonia Rao,M23054,Mathematics
Aditi Sarin,EE19907,Electrical Engineering
Sneha Saxena,B22738,Biotechnology
Aman Pillai,M20631,Mathematics
Vikram Pillai,E21217,Electronics
Varun Bansal,IT19069,Information Technology
Shalini Chopra,ME23050,Mechanical Engineering
Sandeep Joshi,E24576,Electronics
Harish Joshi,AE18831,Aerospace Engineering
Tanvi Gupta,M21868,Mathematics
Vishal Garg,CE24800,Civil Engineering
Sanya Chakraborty,AE24432,Aerospace Engineering
Rajat Pillai,B23219,Biotechnology
Neha Chatterjee,B20027,Biotechnology
Vani Wadhwa,ME20858,Mechanical Engineering
Prakash Wadhwa,CS23804,Computer Science
Kavita Yadav,EE19588,Electrical Engineering
Sanya Reddy,CE21722,Chemical Engineering
Nikhil Iyer,AE18474,Aerospace Engineering
Sakshi Wadhwa,E23002,Electronics
Ashish Sharma,B20028,Biotechnology
Pankaj Chakraborty,IT19981,Information Technology
Raj Malhotra,AE23712,Aerospace Engineering
Mihir Agarwal,M23397,Mathematics
Raj Banerjee,E20680,Electronics
Aman Kohli,CE22635,Civil Engineering
Sagar Chatterjee,CS24538,Computer Science
Naveen Bhat,EE19670,Electrical Engineering
Shreya Choudhury,ME19186,Mechanical Engineering
Gaurav Sethi,IT23961,Information Technology
Madhav Kapoor,ME20772,Mechanical Engineering
Pooja Yadav,CE22095,Chemical Engineering
Mihir Sharma,B18586,Biotechnology
Shivam Choudhury,CE20229,Chemical Engineering
Sonia Deshpande,B24997,Biotechnology
Ananya Bhat,EE21528,Electrical Engineering
Rashi Pillai,CE24809,Civil Engineering
Vani Chatterjee,CE22404,Civil Engineering
Shalini Shah,M20335,Mathematics
Ujjwal Agarwal,CE18772,Civil Engineering
Dhruv Wadhwa,IT21885,Information Technology
Naveen Das,M22592,Mathematics
Radhika Naidu,CE19296,Civil Engineering
Tushar Wadhwa,ME22942,Mechanical Engineering
Arjun Patel,CS20640,Computer Science
Yash Shah,ME19981,Mechanical Engineering
Harsh Chatterjee,IT20458,Information Technology
Mallika Chakraborty,EE18922,Electrical Engineering
Arjun Das,CS23221,Computer Science
Vishal Yadav,M20966,Mathematics
Aditi Nair,IT19880,Information Technology
Kunal Menon,ME23791,Mechanical Engineering
Harish Pandey,CS18329,Computer Science
Vikram Das,CS24115,Computer Science
Kavita Dutta,CE24734,Chemical Engineering
Ritu Khanna,IT24006,Information Technology
Varun Khanna,B18522,Biotechnology
Rishabh Ghosh,ME24342,Mechanical Engineering
Kunal Goyal,EE19081,Electrical Engineering
Varun Wadhwa,AE18726,Aerospace Engineering
Harish Garg,CE19725,Civil Engineering
Pankaj Mishra,AE18160,Aerospace Engineering
Shivam Naidu,E21663,Electronics
Devika Reddy,M19523,Mathematics
Suresh Shah,B18382,Biotechnology
Divya Pillai,AE22605,Aerospace Engineering
Prakash Pillai,CE20399,Chemical Engineering
Anjali Mehta,AE18843,Aerospace Engineering
Aryan Desai,CE20341,Chemical Engineering
Sahil Chatterjee,CE22930,Civil Engineering
Rahul Desai,ME21603,Mechanical Engineering
Rohan Bose,CE22475,Civil Engineering
Naveen Kaur,ME20512,Mechanical Engineering
Aman Iyer,EE23351,Electrical Engineering
Pankaj Banerjee,CS18451,Computer Science
Madhav Banerjee,ME18669,Mechanical Engineering
Shreya Saxena,CE19581,Chemical Engineering
Tanvi Saxena,CS19484,Computer Science
Kavya Khanna,CS23116,Computer Science
Sakshi Yadav,M21348,Mathematics
Kunal Verma,AE21338,Aerospace Engineering
Harish Sethi,ME19611,Mechanical Engineering
Tushar Kohli,CE19028,Civil Engineering
Manish Desai,ME20586,Mechanical Engineering
Akash Agarwal,EE23354,Electrical Engineering
Nisha Deshpande,EE20943,Electrical Engineering
Akash Mahajan,ME22301,Mechanical Engineering
Prakash Yadav,M22789,Mathematics
Aryan Wadhwa,B18018,Biotechnology
Anupam Bhat,CS18709,Computer Science
Kavita Rao,EE22507,Electrical Engineering
Sahil Iyer,EE22862,Electrical Engineering
Kunal Reddy,ME23250,Mechanical Engineering
Tanvi Das,CS20639,Computer Science
Simran Singh,E22559,Electronics
Anjali Agarwal,CS22134,Computer Science
Kunal Wadhwa,E18359,Electronics
Isha Mehta,AE22693,Aerospace Engineering
Shalini Garg,CS20648,Computer Science
Rajat Sethi,AE23199,Aerospace Engineering
Ananya Chakraborty,CS24504,Computer Science
Garima Banerjee,EE23801,Electrical Engineering
Harish Joshi,EE22098,Electrical Engineering
Aryan Bose,CS18822,Computer Science
Samarth Dutta,M21735,Mathematics
Jatin Singh,EE18350,Electrical Engineering
Ashish Bansal,IT23311,Information Technology
Rajat Deshpande,AE19959,Aerospace Engineering
Gaurav Mahajan,EE23536,Electrical Engineering
Ritu Mishra,CE19777,Chemical Engineering
Vishal Garg,CE19175,Civil Engineering
Neha Agarwal,E23960,Electronics
Simran Tiwari,EE18061,Electrical Engineering
Ananya Sarin,IT20831,Information Technology
Shubham Pandey,B19972,Biotechnology
Ananya Wadhwa,CE24598,Chemical Engineering
Karan Mahajan,CS19033,Computer Science
Ashish Chawla,M20961,Mathematics
Devika Das,M20073,Mathematics
Naveen Pillai,EE18673,Electrical Engineering
Kavya Kaur,CS21471,Computer Science
Pankaj Goyal,E18054,Electronics
Harish Chatterjee,E24638,Electronics
Arjun Mishra,M24513,Mathematics
Ankit Bhat,AE20993,Aerospace Engineering
Karan Singh,IT23688,Information Technology
Nisha Rao,AE18844,Aerospace Engineering
Kavita Naidu,CE20019,Chemical Engineering
Nisha Deshpande,B22748,Biotechnology
Pooja Naidu,E19395,Electronics
Sanya Patil,CE20479,Civil Engineering
Kavita Sethi,ME22179,Mechanical Engineering
Sonia Mahajan,ME23442,Mechanical Engineering
Ankit Gupta,EE21243,Electrical Engineering
Naveen Patil,B18926,Biotechnology
Ishaan Chawla,EE18283,Electrical Engineering
Vani Yadav,IT19136,Information Technology
Gaurav Ghosh,EE23478,Electrical Engineering
Sakshi Sarin,AE21361,Aerospace Engineering
Ujjwal Pillai,IT24034,Information Technology
Sonia Yadav,CS20753,Computer Science
Sandeep Deshpande,CS18701,Computer Science
Shreya Pandey,B18546,Biotechnology
Vijay Sharma,CE21741,Chemical Engineering
Vani Kaur,EE18223,Electrical Engineering
Kavya Sarin,AE18748,Aerospace Engineering
Deepak Garg,CS18611,Computer Science
Anjali Pillai,IT24840,Information Technology
Sanya Verma,CS19455,Computer Science
Gaurav Rao,EE24949,Electrical Engineering
Rishabh Iyer,M20311,Mathematics
Ritika Garg,ME18195,Mechanical Engineering
Ishaan Gupta,IT23277,Information Technology
Isha Gupta,ME21089,Mechanical Engineering
Arjun Ghosh,B19929,Biotechnology
Raj Joshi,CS23313,Computer Science
Vikram Malhotra,EE22607,Electrical Engineering
Ujjwal Reddy,ME24653,Mechanical Engineering
Sanya Patel,E22839,Electronics
Shivam Mahajan,CS24199,Computer Science
Anupam Bhat,EE23817,Electrical Engineering
Shubham Tiwari,IT24895,Information Technology
Tanvi Tiwari,CS18494,Computer Science
Sonam Patel,IT22326,Information Technology
Meera Dutta,ME22959,Mechanical Engineering
Radhika Verma,IT19009,Information Technology
Anupam Ghosh,CE21176,Civil Engineering
Rishabh Tiwari,EE24399,Electrical Engineering
Ritu Kapoor,CE20265,Civil Engineering
Aditya Joshi,M19864,Mathematics
Sneha Patil,B21234,Biotechnology
Garima Ghosh,B19159,Biotechnology
Simran Joshi,CS22313,Computer Science
Vishal Yadav,IT19241,Information Technology
Ananya Verma,E19163,Electronics
Arjun Chatterjee,CE21109,Chemical Engineering
Anupam Verma,E22019,Electronics
Divya Garg,AE23687,Aerospace Engineering
Aman Chatterjee,AE18191,Aerospace Engineering
Kavita Bose,EE23215,Electrical Engineering
Harsh Choudhury,E21479,Electronics
Radhika Kaur,M18038,Mathematics
Ujjwal Banerjee,AE23965,Aerospace Engineering
Rohan Saxena,M24515,Mathematics
Varun Dutta,IT21638,Information Technology
Vikram Chawla,B18374,Biotechnology
Payal Pillai,EE20087,Electrical Engineering
Sakshi Banerjee,B24889,Biotechnology
Suresh Patel,CE24683,Chemical Engineering
Ujjwal Pandey,E19166,Electronics
Rahul Joshi,EE22710,Electrical Engineering
Sonam Desai,IT19286,Information Technology
Pooja Shah,B18535,Biotechnology
Jatin Mehta,E24878,Electronics
Isha Khanna,E19081,Electronics
Yash Mehta,B19559,Biotechnology
Ritika Tiwari,EE24925,Electrical Engineering
Simran Iyer,M22285,Mathematics
Priya Garg,IT20782,Information Technology
Aditi Bhat,EE23890,Electrical Engineering
Aditi Sethi,CE22789,Civil Engineering
Sandeep Rao,CE24520,Civil Engineering
Sanya Kohli,AE23312,Aerospace Engineering
Kavya Das,AE23354,Aerospace Engineering
Sonia Goyal,ME20475,Mechanical Engineering
Mihir Menon,CE19215,Chemical Engineering
Amit Joshi,AE18233,Aerospace Engineering
Samarth Bajaj,E21959,Electronics
Ishaan Nair,AE21697,Aerospace Engineering
Deepak Bose,B23516,Biotechnology
Priya Mahajan,CS22411,Computer Science
Aryan Desai,M21469,Mathematics
Rishabh Desai,CE23496,Chemical Engineering
Sandeep Singh,AE21913,Aerospace Engineering
Arjun Patil,B22482,Biotechnology
Sonia Deshpande,ME23452,Mechanical Engineering
Sagar Chakraborty,IT21867,Information Technology
Nisha Patel,ME19192,Mechanical Engineering
Pooja Choudhury,CS22388,Computer Science
Devika Malhotra,M21863,Mathematics
Shivam Kumar,ME19224,Mechanical Engineering
Radhika Malhotra,B18119,Biotechnology
Ashish Bhat,ME18159,Mechanical Engineering
Aryan Yadav,ME23345,Mechanical Engineering
Sandeep Verma,B23885,Biotechnology
Aryan Kumar,CE19214,Civil Engineering
Deepak Goyal,CS24482,Computer Science
Shivam Reddy,E18740,Electronics
Ritu Pandey,EE20421,Electrical Engineering
Neha Naidu,ME20274,Mechanical Engineering
Kavya Patel,M21091,Mathematics
Aman Reddy,AE18122,Aerospace Engineering
Ashish Reddy,EE19958,Electrical Engineering
Shalini Mishra,AE19980,Aerospace Engineering
Nisha Tiwari,E19581,Electronics
Rajat Naidu,CE21114,Chemical Engineering
Manish Mishra,CE19902,Civil Engineering
Shalini Mehta,B22031,Biotechnology
Kavya Sarin,IT18672,Information Technology
Neha Yadav,E24799,Electronics
Prakash Trivedi,IT18959,Information Technology
Rahul Ghosh,CS19100,Computer Science
Bhavya Ghosh,CE22731,Civil Engineering
Sahil Goyal,ME21021,Mechanical Engineering
Vikram Tiwari,ME22393,Mechanical Engineering
Vani Pandey,AE21963,Aerospace Engineering
Yash Goyal,M24327,Mathematics
Aditya Deshpande,AE19493,Aerospace Engineering
Suresh Mishra,EE24272,Electrical Engineering
Shalini Pillai,CE21463,Civil Engineering
Ujjwal Mehta,CE22625,Chemical Engineering
Sneha Garg,M24675,Mathematics
Jatin Verma,CS21901,Computer Science
Ritu Joshi,CE24290,Civil Engineering
Yash Chopra,CE19093,Civil Engineering
Sagar Trivedi,B23322,Biotechnology
Nikhil Kapoor,IT20096,Information Technology
Shreya Wadhwa,ME18540,Mechanical Engineering
Prakash Shah,CE19849,Civil Engineering
Ritika Malhotra,EE24372,Electrical Engineering
Harish Wadhwa,EE23164,Electrical Engineering
Raj Mahajan,EE21798,Electrical Engineering
Ashish Dutta,M24612,Mathematics
Rishabh Banerjee,IT24712,Information Technology
Rahul Mehta,EE19893,Electrical Engineering
Kavita Khanna,E24131,Electronics
Aditya Desai,EE20889,Electrical Engineering
Meera Sarin,EE20730,Electrical Engineering
Kavita Yadav,IT22507,Information Technology
Akash Desai,M21767,Mathematics
Kavita Rao,CE23470,Chemical Engineering
Karan Chopra,EE21832,Electrical Engineering
Sandeep Kumar,EE23053,Electrical Engineering
Raj Mehta,CS23424,Computer Science
Rahul Deshpande,AE21998,Aerospace Engineering
Kavya Dutta,IT19562,Information Technology
Manish Patil,IT24568,Information Technology
Sandeep Dutta,IT21722,Information Technology
Sandeep Goyal,E22856,Electronics
Manish Malhotra,ME24590,Mechanical Engineering
Archana Banerjee,ME19547,Mechanical Engineering
Deepak Rao,ME23026,Mechanical Engineering
Sakshi Pandey,E19677,Electronics
Kunal Mehta,IT23342,Information Technology
Ankit Dutta,CE23996,Civil Engineering
Sakshi Choudhury,CE20047,Chemical Engineering
Dhruv Mishra,EE22246,Electrical Engineering
Rohan Menon,CS20841,Computer Science
Sagar Chawla,CE19477,Chemical Engineering
Sneha Trivedi,ME24224,Mechanical Engineering
Prakash Chopra,ME18847,Mechanical Engineering
Sakshi Bose,CS20209,Computer Science
Priya Singh,EE19707,Electrical Engineering
Simran Iyer,CS18908,Computer Science
Shreya Kapoor,CS23496,Computer Science
Rashi Chatterjee,CE18586,Chemical Engineering
Ananya Bajaj,CS21526,Computer Science
Nikhil Das,IT23931,Information Technology
Tanvi Chakraborty,EE18910,Electrical Engineering
Ujjwal Tiwari,B24069,Biotechnology
Rishabh Verma,CE18496,Chemical Engineering
Ayush Kohli,M18860,Mathematics
Rishabh Garg,CS19538,Computer Science
Shreya Agarwal,CS22668,Computer Science
Tanvi Joshi,E23280,Electronics
Sonia Chopra,B23502,Biotechnology
Dhruv Mehta,EE18372,Electrical Engineering
Shubham Garg,M20722,Mathematics
Prakash Mehta,ME20347,Mechanical Engineering
Pooja Das,E19232,Electronics
Devika Mishra,B20124,Biotechnology
Isha Gupta,AE23527,Aerospace Engineering
Neha Yadav,CE22994,Chemical Engineering
Garima Kaur,CS18266,Computer Science
Yash Trivedi,ME21074,Mechanical Engineering
Kavita Banerjee,B22648,Biotechnology
Jatin Tiwari,CS19311,Computer Science
Dhruv Mehta,M24089,Mathematics
Rajat Das,AE18784,Aerospace Engineering
Sahil Deshpande,ME23927,Mechanical Engineering
Sanya Patil,B19617,Biotechnology
Anupam Gupta,IT21527,Information Technology
Madhav Sarin,EE18562,Electrical Engineering
Tushar Mahajan,CS20168,Computer Science
Gaurav Das,CS23162,Computer Science
Vijay Das,ME21111,Mechanical Engineering
Sonam Sharma,ME21512,Mechanical Engineering
Dhruv Saxena,M22986,Mathematics
Tushar Yadav,CE24753,Civil Engineering
Ashish Banerjee,IT23506,Information Technology
Dhruv Das,CE20286,Chemical Engineering
Vani Patil,E23338,Electronics
Tushar Nair,IT20895,Information Technology
Raj Pillai,IT19542,Information Technology
Arjun Kaur,B21517,Biotechnology
Harsh Singh,E24708,Electronics
Vijay Sharma,E22197,Electronics
Kavya Bajaj,IT19156,Information Technology
Kunal Joshi,CE24236,Chemical Engineering
Simran Sarin,CE22833,Chemical Engineering
Aman Banerjee,ME24395,Mechanical Engineering
Ayush Pandey,CS20599,Computer Science
Payal Iyer,IT21440,Information Technology
Sakshi Malhotra,ME19321,Mechanical Engineering
Rajat Bajaj,E21921,Electronics
Pooja Wadhwa,ME22112,Mechanical Engineering
Shalini Joshi,AE22423,Aerospace Engineering
Suresh Kohli,CE22641,Civil Engineering
Shubham Agarwal,AE24920,Aerospace Engineering
Shalini Sarin,ME18258,Mechanical Engineering
Pankaj Saxena,IT24361,Information Technology
Kunal Choudhury,CE24278,Civil Engineering
Karan Menon,IT19053,Information Technology
Tanvi Banerjee,ME23321,Mechanical Engineering
Tushar Iyer,CS20102,Computer Science
Harsh Wadhwa,E21008,Electronics
Rishabh Reddy,CE18988,Civil Engineering
Ashish Dutta,IT24272,Information Technology
Tanvi Patel,ME24444,Mechanical Engineering
Rahul Chopra,ME19634,Mechanical Engineering
Tushar Yadav,AE18929,Aerospace Engineering
Kavita Malhotra,M20076,Mathematics
Sneha Sarin,AE19705,Aerospace Engineering
Karan Kaur,E23215,Electronics
Vijay Agarwal,M19260,Mathematics
Anupam Bose,E18859,Electronics
Suresh Pillai,E22232,Electronics
Sonia Kapoor,B19957,Biotechnology
Sanya Banerjee,E23110,Electronics
Aditya Agarwal,CE19059,Chemical Engineering
Karan Kumar,AE21032,Aerospace Engineering
Isha Yadav,M22219,Mathematics
Shubham Chawla,IT24289,Information Technology
Rahul Choudhury,B20144,Biotechnology
Madhav Sharma,EE23407,Electrical Engineering
Naveen Chakraborty,CE21146,Chemical Engineering
Rajat Banerjee,E18386,Electronics
Rajat Ghosh,CE22970,Chemical Engineering
Varun Chakraborty,EE24781,Electrical Engineering
Raj Banerjee,ME20068,Mechanical Engineering
Isha Saxena,M20131,Mathematics
Garima Malhotra,B23022,Biotechnology
Vijay Bhat,EE20379,Electrical Engineering
Meera Saxena,CS23574,Computer Science
Suresh Sarin,CE24405,Chemical Engineering
Shalini Malhotra,M24450,Mathematics
Samarth Gupta,ME20479,Mechanical Engineering
Akash Das,CE23304,Chemical Engineering
Nisha Menon,E24563,Electronics
Naveen Chawla,B24107,Biotechnology
Rajat Khanna,EE23350,Electrical Engineering
Rajat Sharma,AE21294,Aerospace Engineering
Pankaj Malhotra,E21681,Electronics
Radhika Naidu,EE24716,Electrical Engineering
Prakash Bansal,B19681,Biotechnology
Sonam Iyer,CS19805,Computer Science
Yash Tiwari,CS18780,Computer Science
Manish Sharma,CE23687,Chemical Engineering
Ashish Patil,B22739,Biotechnology
Nikhil Goyal,ME19927,Mechanical Engineering
Anjali Kaur,CS22057,Computer Science
Dhruv Kohli,ME23929,Mechanical Engineering
Divya Nair,CE19004,Chemical Engineering
Vikram Sarin,EE23052,Electrical Engineering
Aman Kaur,CE18785,Chemical Engineering
Ritika Sharma,AE19142,Aerospace Engineering
Ujjwal Banerjee,EE21766,Electrical Engineering
Priya Yadav,IT21070,Information Technology
Vishal Kaur,B24434,Biotechnology
Raj Goyal,B20553,Biotechnology
Vishal Sethi,CS19811,Computer Science
Meera Chopra,M19647,Mathematics
Prakash Yadav,M21507,Mathematics
Akash Mishra,CE21833,Chemical Engineering
Arjun Goyal,EE20920,Electrical Engineering
Ankit Deshpande,EE20333,Electrical Engineering
Manish Bansal,CE21207,Chemical Engineering
Sonia Sarin,CE23924,Civil Engineering
Manish Das,ME24439,Mechanical Engineering
Yash Mahajan,CE18078,Chemical Engineering
Madhav Patel,M22200,Mathematics
Aryan Choudhury,M21631,Mathematics
Ananya Kohli,CE19594,Chemical Engineering
Archana Agarwal,AE18762,Aerospace Engineering
Sahil Shah,B18079,Biotechnology
Ritika Gupta,CE19342,Civil Engineering
Sagar Dutta,EE21984,Electrical Engineering
Sagar Reddy,CS18637,Computer Science
Ujjwal Naidu,E23364,Electronics
Varun Singh,AE24074,Aerospace Engineering
Radhika Agarwal,CS23322,Computer Science
Anjali Rao,CE21289,Chemical Engineering
Raj Khanna,E18729,Electronics
Payal Reddy,IT19842,Information Technology
Nisha Sarin,AE24521,Aerospace Engineering
Mallika Ghosh,AE21140,Aerospace Engineering
Harish Deshpande,ME18119,Mechanical Engineering
Aryan Bansal,ME24589,Mechanical Engineering
Archana Singh,IT21980,Information Technology
Divya Chakraborty,E19840,Electronics
Nikhil Bose,M24366,Mathematics
Rohan Deshpande,AE20804,Aerospace Engineering
Sagar Menon,CE20096,Chemical Engineering
Karan Iyer,IT22504,Information Technology
Rohan Patel,IT22457,Information Technology
Archana Khanna,AE24323,Aerospace Engineering
Ayush Chawla,ME18671,Mechanical Engineering
Jatin Nair,CS23862,Computer Science
Pankaj Shah,E24974,Electronics
Sonam Chatterjee,ME24494,Mechanical Engineering
Jatin Iyer,IT22476,Information Technology
Sneha Chopra,CS20451,Computer Science
Varun Pandey,CE18830,Chemical Engineering
Divya Tiwari,CE23127,Civil Engineering
Nisha Chawla,B23897,Biotechnology
Shreya Bhat,CE22179,Civil Engineering
Ishaan Patil,IT24450,Information Technology
Priya Sarin,B22815,Biotechnology
Ritika Choudhury,ME18313,Mechanical Engineering
Shreya Bose,M19681,Mathematics
Shubham Kumar,EE24998,Electrical Engineering
Nisha Pillai,B18832,Biotechnology
Aryan Pillai,E22668,Electronics
Suresh Patel,ME19304,Mechanical Engineering
Shalini Iyer,CE19953,Civil Engineering
Samarth Dutta,M23779,Mathematics
Nisha Garg,CE23565,Chemical Engineering
Pooja Sarin,ME20905,Mechanical Engineering
Gaurav Menon,CE19030,Chemical Engineering
Neha Goyal,CE19728,Chemical Engineering
Raj Bhat,EE18565,Electrical Engineering
Harish Reddy,B21073,Biotechnology
Rohan Naidu,AE20094,Aerospace Engineering
Vani Patel,IT18214,Information Technology
Sanya Shah,EE22693,Electrical Engineering
Priya Yadav,E23426,Electronics
Ishaan Malhotra,E18139,Electronics
Sagar Ghosh,EE18155,Electrical Engineering
Shalini Kumar,B24236,Biotechnology
Sneha Kaur,B20649,Biotechnology
Dhruv Nair,B19344,Biotechnology
Nikhil Kapoor,EE18539,Electrical Engineering
Tushar Menon,IT18147,Information Technology
Sneha Nair,CE18067,Chemical Engineering
Sonia Gupta,M18890,Mathematics
Sonam Nair,CE21013,Civil Engineering
Isha Gupta,E22509,Electronics
Payal Chatterjee,CS23758,Computer Science
Yash Chopra,ME21964,Mechanical Engineering
Manish Shah,CE21801,Chemical Engineering
Aditya Patil,CE22886,Chemical Engineering
Gaurav Das,EE24596,Electrical Engineering
Vishal Banerjee,CE21351,Civil Engineering
Naveen Saxena,M20465,Mathematics
Isha Sarin,B22043,Biotechnology
Vishal Bansal,ME21884,Mechanical Engineering
Kavita Saxena,CE21954,Civil Engineering
Payal Sarin,CE18239,Chemical Engineering
Devika Saxena,E24640,Electronics
Mihir Menon,B23472,Biotechnology
Sneha Sharma,E19053,Electronics
Kunal Kaur,IT22493,Information Technology
Samarth Bose,EE18816,Electrical Engineering
Ashish Malhotra,EE22958,Electrical Engineering
Sanya Kumar,CE21128,Chemical Engineering
Rashi Tiwari,CE22248,Civil Engineering
Shreya Mehta,CS18748,Computer Science
Simran Iyer,AE22526,Aerospace Engineering
Pankaj Chakraborty,CS20870,Computer Science
Sahil Das,AE18744,Aerospace Engineering
Sahil Chawla,E19039,Electronics
Nisha Kohli,CE22406,Chemical Engineering
Ritu Sharma,M23273,Mathematics
Kunal Agarwal,AE18452,Aerospace Engineering
Mihir Bansal,E19415,Electronics
Isha Sharma,ME23302,Mechanical Engineering
Vishal Mehta,CS24080,Computer Science
Ritu Reddy,E23477,Electronics
Gaurav Chatterjee,AE21922,Aerospace Engineering
Ananya Khanna,IT18481,Information Technology
Shubham Khanna,EE18142,Electrical Engineering
Naveen Pillai,IT22160,Information Technology
Shivam Yadav,E23459,Electronics
Amit Chakraborty,CS22480,Computer Science
Pankaj Yadav,B24719,Biotechnology
Mihir Mahajan,E23305,Electronics
Samarth Tiwari,CE19680,Civil Engineering
Rashi Shah,M22383,Mathematics
Aryan Yadav,CE24986,Chemical Engineering
Sakshi Kaur,AE24460,Aerospace Engineering
Suresh Malhotra,E22258,Electronics
Ayush Mehta,B20549,Biotechnology
Raj Nair,IT22195,Information Technology
Pankaj Sharma,IT20627,Information Technology
Kavita Patil,AE22404,Aerospace Engineering
